subject,TrialNo,TrialID,strategy,Order,total_dis,Top,Target,short_dis,learn_dis,Start_x,Start_y,Goal_x,Goal_y,Distance,ES,EL
635,10,dsp1_08,shortcut liberal,10,324.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,2.0,0.5684210526315789
635,11,dsp1_21,learned,11,324.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,1.7802197802197801,1.0657894736842106
635,12,dsp1_19,shortcut,12,143.0,bookshelf,plant,143,547,73,153,93,30,118.667,1.0,0.26142595978062155
635,13,dsp1_18,uncodable,13,506.0,Trashcan,well,142,264,53,194,174,173,115.333,3.563380281690141,1.9166666666666667
635,14,dsp1_05,shortcut,14,264.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,1.0,0.4489795918367347
635,15,dsp1_10,uncodable,15,243.0,plant,piano,182,285,93,30,13,153,152.0,1.335164835164835,0.8526315789473684
635,16,dsp1_02,learned liberal,16,405.0,well,picnic table,203,405,174,173,73,71,137.2,1.9950738916256157,1.0
635,17,dsp1_07,shortcut liberal,17,305.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.150943396226415,0.7142857142857143
635,18,dsp1_22,uncodable,18,769.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,4.717791411042945,1.2668863261943988
635,19,dsp1_04,shortcut,19,223.0,chair,trashcan,223,629,214,132,53,194,185.333,1.0,0.35453100158982515
635,20,dsp1_03,shortcut,20,304.0,chair,Piano,261,548,214,132,13,153,234.667,1.1647509578544062,0.5547445255474452
636,1,dsp1_07,shortcut,1,265.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.0,0.6206088992974239
636,2,dsp1_05,uncodable,2,548.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,2.0757575757575757,0.9319727891156463
636,3,dsp1_19,rev learned,3,427.0,bookshelf,plant,143,547,73,153,93,30,118.667,2.986013986013986,0.7806215722120659
636,4,dsp1_11,learned liberal,4,202.0,picnic table,wheelbarrow,82,448,73,71,114,112,44.0,2.4634146341463414,0.45089285714285715
636,5,dsp1_13,uncodable,5,627.0,stove,chair,323,569,33,30,214,132,222.667,1.9411764705882353,1.101933216168717
636,6,dsp1_10,rev learned liberal,6,285.0,plant,piano,182,285,93,30,13,153,152.0,1.565934065934066,1.0
636,7,dsp1_22,Failure,7,728.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,4.466257668711656,1.1993410214168039
636,8,dsp1_06,shortcut,8,203.0,mailbox,harp,203,731,214,30,134,153,153.333,1.0,0.2777017783857729
636,9,dsp1_23,learned liberal,9,404.0,harp,plant,164,404,134,153,93,30,126.667,2.4634146341463414,1.0
636,10,dsp1_18,Failure,10,789.0,Trashcan,well,142,264,53,194,174,173,115.333,5.556338028169014,2.9886363636363638
636,11,dsp1_09,shortcut liberal,11,304.0,plant,well,224,630,93,30,174,173,171.333,1.3571428571428572,0.48253968253968255
636,12,dsp1_03,shortcut liberal,12,384.0,chair,Piano,261,548,214,132,13,153,234.667,1.471264367816092,0.7007299270072993
636,13,dsp1_17,shortcut liberal,13,263.0,trashcan,picnic table,183,669,53,194,73,71,130.667,1.4371584699453552,0.3931240657698057
636,14,dsp1_21,uncodable,14,324.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,1.7802197802197801,1.0657894736842106
636,15,dsp1_14,uncodable,15,243.0,stove,bookshelf,203,285,33,30,73,153,137.333,1.1970443349753694,0.8526315789473684
636,16,dsp1_24,uncodable,16,363.0,harp,telescope,183,343,134,153,134,10,133.333,1.9836065573770492,1.0583090379008746
636,17,dsp1_08,shortcut,17,182.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,1.123456790123457,0.3192982456140351
636,18,dsp1_02,shortcut liberal,18,285.0,well,picnic table,203,405,174,173,73,71,137.2,1.4039408866995073,0.7037037037037037
636,19,dsp1_04,shortcut liberal,19,467.0,chair,trashcan,223,629,214,132,53,194,185.333,2.094170403587444,0.7424483306836248
636,20,dsp1_16,shortcut,20,243.0,piano,harp,203,285,13,153,134,153,153.333,1.1970443349753694,0.8526315789473684
637,1,dsp1_21,shortcut,1,202.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,1.10989010989011,0.6644736842105263
637,2,dsp1_22,rev learned liberal,2,203.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,1.2453987730061349,0.3344316309719934
637,3,dsp1_09,shortcut liberal,3,344.0,plant,well,224,630,93,30,174,173,171.333,1.5357142857142858,0.546031746031746
637,4,dsp1_08,shortcut,4,162.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,1.0,0.28421052631578947
637,5,dsp1_24,uncodable,5,467.0,harp,telescope,183,343,134,153,134,10,133.333,2.551912568306011,1.3615160349854227
637,6,dsp1_18,learned,6,264.0,Trashcan,well,142,264,53,194,174,173,115.333,1.8591549295774648,1.0
637,7,dsp1_10,shortcut,7,182.0,plant,piano,182,285,93,30,13,153,152.0,1.0,0.6385964912280702
637,8,dsp1_06,shortcut,8,203.0,mailbox,harp,203,731,214,30,134,153,153.333,1.0,0.2777017783857729
637,9,dsp1_16,shortcut,9,223.0,piano,harp,203,285,13,153,134,153,153.333,1.0985221674876848,0.7824561403508772
637,10,dsp1_19,shortcut liberal,10,305.0,bookshelf,plant,143,547,73,153,93,30,118.667,2.132867132867133,0.5575868372943327
637,11,dsp1_14,uncodable,11,365.0,stove,bookshelf,203,285,33,30,73,153,137.333,1.7980295566502462,1.280701754385965
637,12,dsp1_03,shortcut liberal,12,424.0,chair,Piano,261,548,214,132,13,153,234.667,1.6245210727969348,0.7737226277372263
637,13,dsp1_02,shortcut,13,203.0,well,picnic table,203,405,174,173,73,71,137.2,1.0,0.5012345679012346
637,14,dsp1_07,rev learned liberal,14,425.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.6037735849056605,0.9953161592505855
637,15,dsp1_23,uncodable,15,364.0,harp,plant,164,404,134,153,93,30,126.667,2.2195121951219514,0.900990099009901
637,16,dsp1_17,rev learned liberal,16,263.0,trashcan,picnic table,183,669,53,194,73,71,130.667,1.4371584699453552,0.3931240657698057
637,17,dsp1_05,shortcut liberal,17,384.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,1.4545454545454546,0.6530612244897959
637,18,dsp1_04,shortcut liberal,18,383.0,chair,trashcan,223,629,214,132,53,194,185.333,1.7174887892376682,0.6089030206677265
637,19,dsp1_11,shortcut liberal,19,286.0,picnic table,wheelbarrow,82,448,73,71,114,112,44.0,3.4878048780487805,0.6383928571428571
637,20,dsp1_13,shortcut liberal,20,425.0,stove,chair,323,569,33,30,214,132,222.667,1.3157894736842106,0.7469244288224957
638,1,dsp1_23,Failure,1,487.0,harp,plant,164,404,134,153,93,30,126.667,2.9695121951219514,1.2054455445544554
638,2,dsp1_19,Failure,2,690.0,bookshelf,plant,143,547,73,153,93,30,118.667,4.825174825174825,1.2614259597806217
638,3,dsp1_06,shortcut,3,203.0,mailbox,harp,203,731,214,30,134,153,153.333,1.0,0.2777017783857729
638,4,dsp1_02,rev learned liberal,4,405.0,well,picnic table,203,405,174,173,73,71,137.2,1.9950738916256157,1.0
638,5,dsp1_18,Failure,5,708.0,Trashcan,well,142,264,53,194,174,173,115.333,4.985915492957746,2.6818181818181817
638,6,dsp1_21,rev learned liberal,6,284.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,1.5604395604395604,0.9342105263157895
638,7,dsp1_10,rev learned liberal,7,567.0,plant,piano,182,285,93,30,13,153,152.0,3.1153846153846154,1.9894736842105263
638,8,dsp1_14,uncodable,8,567.0,stove,bookshelf,203,285,33,30,73,153,137.333,2.793103448275862,1.9894736842105263
638,9,dsp1_24,Failure,9,731.0,harp,telescope,183,343,134,153,134,10,133.333,3.9945355191256833,2.131195335276968
638,10,dsp1_07,rev learned liberal,10,425.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.6037735849056605,0.9953161592505855
638,11,dsp1_13,shortcut liberal,11,467.0,stove,chair,323,569,33,30,214,132,222.667,1.4458204334365325,0.820738137082601
638,12,dsp1_05,Failure,12,748.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,2.8333333333333335,1.272108843537415
638,13,dsp1_08,shortcut,13,162.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,1.0,0.28421052631578947
638,14,dsp1_22,shortcut liberal,14,447.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,2.7423312883435584,0.7364085667215815
638,15,dsp1_17,Failure,15,629.0,trashcan,picnic table,183,669,53,194,73,71,130.667,3.4371584699453552,0.9402092675635276
638,16,dsp1_09,Failure,16,748.0,plant,well,224,630,93,30,174,173,171.333,3.3392857142857144,1.1873015873015873
638,17,dsp1_16,rev learned liberal,17,443.0,piano,harp,203,285,13,153,134,153,153.333,2.1822660098522166,1.5543859649122806
638,18,dsp1_04,learned liberal,18,547.0,chair,trashcan,223,629,214,132,53,194,185.333,2.4529147982062782,0.8696343402225755
638,19,dsp1_11,learned liberal,19,304.0,picnic table,wheelbarrow,82,448,73,71,114,112,44.0,3.707317073170732,0.6785714285714286
638,20,dsp1_03,rev learned liberal,20,445.0,chair,Piano,261,548,214,132,13,153,234.667,1.7049808429118773,0.8120437956204379
639,1,dsp1_09,Failure,1,448.0,plant,well,224,630,93,30,174,173,171.333,2.0,0.7111111111111111
639,2,dsp1_19,learned liberal,2,587.0,bookshelf,plant,143,547,73,153,93,30,118.667,4.104895104895105,1.0731261425959782
639,3,dsp1_18,Failure,3,651.0,Trashcan,well,142,264,53,194,174,173,115.333,4.584507042253521,2.465909090909091
639,4,dsp1_17,Failure,4,689.0,trashcan,picnic table,183,669,53,194,73,71,130.667,3.7650273224043715,1.0298953662182362
