Participant No,Gender,TrialNo,TrialID,AngluarArror
 619,0,3,dsp1_08,5.29392067
 619,0,4,dsp1_16,0.49802519
 619,0,5,dsp1_09,6.881024207
 619,0,6,dsp1_14,3.869788809
 619,0,7,dsp1_21,89.82060338
 619,0,8,dsp1_18,3.245342119
 619,0,9,dsp1_02,7.1
 619,0,10,dsp1_05,0.588556845
 619,0,11,dsp1_22,103.7479569
 619,0,12,dsp1_19,2.296080392
 619,0,13,dsp1_13,10.5785415
 619,0,14,dsp1_06,0.875158383
 619,0,15,dsp1_04,2.55981217
 619,0,16,dsp1_17,1.554697881
 619,0,17,dsp1_24,11.6527704
 619,0,18,dsp1_07,6.922771507
 619,0,19,dsp1_10,6.934209003
 619,0,20,dsp1_03,2.316145012
 620,0,1,dsp1_18,18.95469788
 620,0,2,dsp1_04,2.15981217
 620,0,3,dsp1_14,1.269788809
 620,0,4,dsp1_02,9.1
 620,0,5,dsp1_23,6.532362509
 620,0,6,dsp1_16,21.60198481
 620,0,7,dsp1_11,16.84685305
 620,0,8,dsp1_05,1.188556845
 620,0,9,dsp1_07,3.922671507
 620,0,10,dsp1_03,7.916045012
 620,0,11,dsp1_08,41.29391067
 620,0,12,dsp1_22,92.14795688
 620,0,13,dsp1_10,13.265791
 620,0,14,dsp1_17,3.845302119
 620,0,15,dsp1_06,4.975158383
 620,0,16,dsp1_19,0.096040392
 620,0,17,dsp1_09,44.88102421
 620,0,18,dsp1_21,105.0206034
 620,0,19,dsp1_13,7.021358496
 620,0,20,dsp1_24,4.452670397
 621,1,1,dsp1_21,87.07939662
 621,1,2,dsp1_10,73.465791
 621,1,3,dsp1_13,80.4214585
 621,1,4,dsp1_11,84.95323695
 621,1,5,dsp1_22,92.05204312
 621,1,6,dsp1_06,28.37525838
 621,1,7,dsp1_17,50.85469788
 621,1,8,dsp1_09,51.98102421
 621,1,9,dsp1_16,8.39802519
 621,1,10,dsp1_02,19.5
 621,1,11,dsp1_05,23.98865685
 621,1,12,dsp1_19,29.29605039
 621,1,13,dsp1_18,20.25469788
 621,1,14,dsp1_04,46.04008783
 621,1,15,dsp1_14,24.53021119
 621,1,16,dsp1_24,20.5527704
 621,1,17,dsp1_03,48.01604501
 621,1,18,dsp1_07,57.52278151
 621,1,19,dsp1_08,25.49393067
 621,1,20,dsp1_23,73.56753749
 622,0,1,dsp1_24,23.5472296
 622,0,2,dsp1_23,28.66763749
 622,0,3,dsp1_14,5.969788809
 622,0,4,dsp1_06,4.675158383
 622,0,5,dsp1_19,6.903939608
 622,0,6,dsp1_22,59.45194312
 622,0,7,dsp1_13,29.1214585
 622,0,8,dsp1_11,94.05313695
 622,0,9,dsp1_17,55.25479788
 622,0,10,dsp1_07,4.122771507
 622,0,11,dsp1_10,11.765791
 622,0,12,dsp1_21,67.87949662
 622,0,13,dsp1_03,38.91604501
 622,0,14,dsp1_16,30.49802519
 622,0,15,dsp1_09,31.88102421
 622,0,16,dsp1_05,5.988556845
 622,0,17,dsp1_18,52.95469788
 622,0,18,dsp1_02,4.7999
 622,0,19,dsp1_04,12.95991217
 622,0,20,dsp1_08,46.99392067
 623,1,1,dsp1_02,76.1001
 623,1,2,dsp1_18,78.95469788
 623,1,3,dsp1_07,54.52279151
 623,1,4,dsp1_19,34.19605039
 623,1,5,dsp1_13,66.4214585
 623,1,6,dsp1_04,23.94018783
 623,1,7,dsp1_09,56.68112421
 623,1,8,dsp1_24,89.0472296
 623,1,9,dsp1_11,103.7467631
 623,1,10,dsp1_22,115.3520431
 623,1,11,dsp1_16,63.10205481
 623,1,12,dsp1_23,91.56763749
 623,1,13,dsp1_06,9.924841617
 623,1,14,dsp1_14,35.63021119
 623,1,15,dsp1_08,55.29394067
 623,1,16,dsp1_17,58.15479788
 623,1,17,dsp1_21,79.72060338
 623,1,18,dsp1_10,34.565811
 623,1,19,dsp1_05,2.611443155
 623,1,20,dsp1_03,18.51604501
 624,1,1,dsp1_23,14.33236251
 624,1,2,dsp1_10,13.065691
 624,1,3,dsp1_11,19.74684305
 624,1,4,dsp1_19,112.6960504
 624,1,5,dsp1_05,5.088656845
 624,1,6,dsp1_02,4.7
 624,1,7,dsp1_21,31.22060338
 624,1,8,dsp1_14,10.26978881
 624,1,9,dsp1_22,167.5521431
 624,1,10,dsp1_09,44.91907579
 624,1,11,dsp1_03,46.01604501
 624,1,12,dsp1_17,7.445302119
 624,1,13,dsp1_04,41.04018783
 624,1,14,dsp1_07,6.922771507
 624,1,15,dsp1_06,14.57525838
 624,1,16,dsp1_18,3.945382119
 624,1,17,dsp1_16,42.89792519
 624,1,18,dsp1_24,37.9472296
 624,1,19,dsp1_08,8.29382067
 624,1,20,dsp1_13,20.8213585
 625,1,1,dsp1_23,3.532462509
 625,1,2,dsp1_04,53.54018783
 625,1,3,dsp1_09,165.1810242
 625,1,4,dsp1_02,32.8
 625,1,5,dsp1_06,20.82484162
 625,1,6,dsp1_08,65.29393067
 625,1,7,dsp1_19,147.7960504
 625,1,8,dsp1_21,110.6206034
 625,1,9,dsp1_11,109.3531369
 625,1,10,dsp1_14,50.53021119
 625,1,11,dsp1_24,161.0527704
 625,1,12,dsp1_05,6.211443155
 625,1,13,dsp1_22,23.25204312
 625,1,14,dsp1_13,76.9214585
 625,1,15,dsp1_17,27.45469788
 625,1,16,dsp1_03,47.98395499
 625,1,17,dsp1_18,77.95469788
 625,1,18,dsp1_07,70.22278151
 625,1,19,dsp1_16,41.50206481
 625,1,20,dsp1_10,94.965691
 626,0,1,dsp1_11,6.446863054
 626,0,2,dsp1_13,3.278541504
 626,0,3,dsp1_06,3.875158383
 626,0,4,dsp1_19,6.596010392
 626,0,5,dsp1_17,18.24530212
 626,0,6,dsp1_18,1.154697881
 626,0,7,dsp1_16,3.60199481
 626,0,8,dsp1_14,1.330211191
 626,0,9,dsp1_05,13.48855685
 626,0,10,dsp1_22,87.84795688
 626,0,11,dsp1_09,18.08102421
 626,0,12,dsp1_21,87.72060338
 626,0,13,dsp1_24,16.5472296
 626,0,14,dsp1_02,8.3
 626,0,15,dsp1_03,6.283854988
 626,0,16,dsp1_10,9.134209003
 626,0,17,dsp1_23,24.93236251
 626,0,18,dsp1_04,4.05981217
 626,0,19,dsp1_07,5.522771507
 626,0,20,dsp1_08,22.89391067
 627,0,1,dsp1_24,88.3527704
 627,0,2,dsp1_03,38.71604501
 627,0,3,dsp1_02,67.4
 627,0,4,dsp1_17,8.945302119
 627,0,5,dsp1_07,4.822771507
 627,0,6,dsp1_10,0.265790997
 627,0,7,dsp1_21,163.3206034
 627,0,8,dsp1_19,146.1039496
 627,0,9,dsp1_16,43.00191481
 627,0,10,dsp1_18,66.65469788
 627,0,11,dsp1_04,63.64018783
 627,0,12,dsp1_11,26.04686305
 627,0,13,dsp1_22,92.14795688
 627,0,14,dsp1_09,39.38102421
 627,0,15,dsp1_23,19.76763749
 627,0,16,dsp1_08,30.99389067
 627,0,17,dsp1_06,22.17515838
 627,0,18,dsp1_05,3.488556845
