Subject,DSP_Trial,Top,Target,AbsoluError,Order
611,new_5,harp,mailbox,82.9,pre
611,dsp1_03,chair,piano,29.4,pre
611,dsp1_10,plant,piano,4.0,pre
611,dsp1_09,plant,well,87.4,pre
611,dsp1_02,well,picnic table,149.0,pre
611,dsp1_18,trashcan,well,106.4,pre
611,dsp1_21,wheelbarrow,stove,72.3,pre
611,dsp1_07,telescope,trashcan,47.6,pre
611,new_7,trashcan,stove,47.5,pre
611,dsp1_19,bookshelf,plant,14.3,pre
612,dsp1_11,picnic table,wheelbarrow,41.1,pre
612,dsp1_16,piano,harp,40.9,pre
612,dsp1_23,harp,plant,120.0,pre
612,dsp1_10,plant,piano,174.0,pre
612,dsp1_22,wheelbarrow,mailbox,54.0,pre
612,new_4,picnic table,chair,100.1,pre
612,dsp1_05,mailbox,bookshelf,9.9,pre
612,dsp1_17,trashcan,picnic table,68.4,pre
612,dsp1_24,harp,telescope,42.0,pre
612,dsp1_02,well,picnic table,22.0,pre
612,dsp1_13,stove,chair,15.1,pre
612,new_5,harp,mailbox,85.1,pre
612,dsp1_09,plant,well,93.4,pre
612,new_2,stove,wheelbarrow,17.7,pre
612,dsp1_08,telescope,wheelbarrow,77.9,pre
612,dsp1_19,bookshelf,plant,50.7,pre
612,dsp1_18,trashcan,well,79.4,pre
612,dsp1_06,mailbox,harp,32.9,pre
612,new_3,bookshelf,piano,4.7,pre
612,new_7,trashcan,stove,19.5,pre
612,dsp1_21,wheelbarrow,stove,4.7,pre
612,new_1,well,telescope,48.3,pre
612,dsp1_07,telescope,trashcan,66.6,pre
612,dsp1_03,chair,piano,53.4,pre
612,dsp1_14,stove,bookshelf,2.4,pre
612,dsp1_04,chair,trashcan,38.2,pre
612,new_6,piano,trashcan,13.7,pre
613,dsp1_02,well,picnic table,100.0,pre
613,dsp1_23,harp,plant,171.0,pre
613,dsp1_08,telescope,wheelbarrow,99.9,pre
613,dsp1_07,telescope,trashcan,58.6,pre
613,new_6,piano,trashcan,88.7,pre
613,new_4,picnic table,chair,157.1,pre
613,dsp1_13,stove,chair,26.1,pre
613,new_5,harp,mailbox,14.1,pre
613,dsp1_21,wheelbarrow,stove,176.7,pre
613,dsp1_22,wheelbarrow,mailbox,39.0,pre
613,dsp1_03,chair,piano,96.4,pre
613,dsp1_11,picnic table,wheelbarrow,39.1,pre
613,new_1,well,telescope,53.7,pre
613,dsp1_04,chair,trashcan,21.8,pre
613,dsp1_18,trashcan,well,42.4,pre
613,dsp1_05,mailbox,bookshelf,136.9,pre
613,dsp1_14,stove,bookshelf,5.4,pre
613,dsp1_10,plant,piano,116.0,pre
613,dsp1_19,bookshelf,plant,19.3,pre
613,dsp1_09,plant,well,82.4,pre
613,new_7,trashcan,stove,72.5,pre
613,dsp1_06,mailbox,harp,85.9,pre
613,dsp1_17,trashcan,picnic table,47.4,pre
613,dsp1_24,harp,telescope,111.0,pre
613,new_3,bookshelf,piano,136.3,pre
613,new_2,stove,wheelbarrow,7.3,pre
613,dsp1_16,piano,harp,134.9,pre
614,dsp1_23,harp,plant,16.0,pre
614,dsp1_11,picnic table,wheelbarrow,30.1,pre
614,dsp1_04,chair,trashcan,33.8,pre
614,new_2,stove,wheelbarrow,17.7,pre
614,dsp1_17,trashcan,picnic table,39.6,pre
614,dsp1_06,mailbox,harp,4.1,pre
614,new_4,picnic table,chair,23.9,pre
614,dsp1_03,chair,piano,0.6,pre
614,dsp1_18,trashcan,well,0.6,pre
614,dsp1_14,stove,bookshelf,41.4,pre
614,dsp1_08,telescope,wheelbarrow,31.9,pre
614,new_7,trashcan,stove,15.5,pre
614,dsp1_13,stove,chair,15.1,pre
614,dsp1_02,well,picnic table,2.0,pre
614,dsp1_16,piano,harp,2.9,pre
614,new_5,harp,mailbox,15.9,pre
614,dsp1_09,plant,well,36.4,pre
614,dsp1_21,wheelbarrow,stove,7.7,pre
614,dsp1_07,telescope,trashcan,23.6,pre
614,new_3,bookshelf,piano,0.7,pre
614,new_6,piano,trashcan,16.7,pre
614,dsp1_10,plant,piano,6.0,pre
614,new_1,well,telescope,6.3,pre
614,dsp1_22,wheelbarrow,mailbox,16.0,pre
614,dsp1_19,bookshelf,plant,44.7,pre
614,dsp1_24,harp,telescope,1.0,pre
614,dsp1_05,mailbox,bookshelf,27.9,pre
615,dsp1_11,picnic table,wheelbarrow,109.9,pre
615,dsp1_06,mailbox,harp,159.9,pre
615,dsp1_09,plant,well,147.4,pre
615,new_7,trashcan,stove,101.5,pre
615,dsp1_04,chair,trashcan,123.8,pre
615,dsp1_17,trashcan,picnic table,134.6,pre
615,new_1,well,telescope,53.7,pre
615,new_2,stove,wheelbarrow,7.7,pre
615,dsp1_23,harp,plant,162.0,pre
615,dsp1_16,piano,harp,136.1,pre
615,new_5,harp,mailbox,87.1,pre
615,dsp1_19,bookshelf,plant,30.7,pre
615,new_4,picnic table,chair,113.9,pre
615,dsp1_05,mailbox,bookshelf,153.1,pre
615,new_3,bookshelf,piano,86.3,pre
615,dsp1_22,wheelbarrow,mailbox,179.0,pre
615,new_6,piano,trashcan,146.7,pre
615,dsp1_18,trashcan,well,0.4,pre
615,dsp1_02,well,picnic table,46.0,pre
615,dsp1_13,stove,chair,19.9,pre
615,dsp1_24,harp,telescope,128.0,pre
615,dsp1_21,wheelbarrow,stove,133.7,pre
615,dsp1_10,plant,piano,172.0,pre
615,dsp1_07,telescope,trashcan,114.6,pre
615,dsp1_14,stove,bookshelf,71.4,pre
615,dsp1_08,telescope,wheelbarrow,96.9,pre
615,dsp1_03,chair,piano,123.6,pre
616,dsp1_06,mailbox,harp,179.9,pre
616,dsp1_10,plant,piano,75.0,pre
616,dsp1_11,picnic table,wheelbarrow,115.9,pre
616,dsp1_17,trashcan,picnic table,99.4,pre
616,dsp1_16,piano,harp,110.1,pre
616,new_5,harp,mailbox,27.9,pre
616,dsp1_22,wheelbarrow,mailbox,126.0,pre
616,new_2,stove,wheelbarrow,12.7,pre
616,dsp1_08,telescope,wheelbarrow,96.9,pre
616,dsp1_05,mailbox,bookshelf,100.9,pre
616,new_7,trashcan,stove,94.5,pre
616,dsp1_18,trashcan,well,102.4,pre
616,dsp1_24,harp,telescope,28.0,pre
616,new_4,picnic table,chair,138.1,pre
616,dsp1_14,stove,bookshelf,113.6,pre
616,dsp1_19,bookshelf,plant,164.3,pre
616,new_6,piano,trashcan,122.7,pre
616,dsp1_03,chair,piano,108.4,pre
616,new_1,well,telescope,147.7,pre
616,dsp1_02,well,picnic table,85.0,pre
616,dsp1_21,wheelbarrow,stove,158.3,pre
616,dsp1_04,chair,trashcan,50.8,pre
616,new_3,bookshelf,piano,44.7,pre
616,dsp1_09,plant,well,48.6,pre
616,dsp1_23,harp,plant,38.0,pre
616,dsp1_13,stove,chair,45.9,pre
616,dsp1_07,telescope,trashcan,125.6,pre
617,dsp1_04,chair,trashcan,162.2,pre
617,dsp1_22,wheelbarrow,mailbox,136.0,pre
617,dsp1_10,plant,piano,35.0,pre
617,dsp1_02,well,picnic table,180.0,pre
617,dsp1_24,harp,telescope,113.0,pre
617,dsp1_06,mailbox,harp,58.9,pre
617,dsp1_09,plant,well,25.4,pre
617,dsp1_13,stove,chair,14.1,pre
617,new_6,piano,trashcan,5.7,pre
617,dsp1_16,piano,harp,13.9,pre
617,dsp1_11,picnic table,wheelbarrow,51.1,pre
617,dsp1_19,bookshelf,plant,84.7,pre
617,new_4,picnic table,chair,83.1,pre
617,dsp1_08,telescope,wheelbarrow,28.1,pre
617,new_5,harp,mailbox,70.1,pre
617,dsp1_23,harp,plant,134.0,pre
617,dsp1_03,chair,piano,11.6,pre
617,dsp1_18,trashcan,well,58.4,pre
617,dsp1_05,mailbox,bookshelf,54.9,pre
617,new_1,well,telescope,157.7,pre
617,dsp1_21,wheelbarrow,stove,142.7,pre
617,new_2,stove,wheelbarrow,76.7,pre
617,new_3,bookshelf,piano,156.3,pre
617,dsp1_07,telescope,trashcan,34.6,pre
617,dsp1_17,trashcan,picnic table,37.6,pre
617,new_7,trashcan,stove,7.5,pre
617,dsp1_14,stove,bookshelf,73.4,pre
618,dsp1_18,trashcan,well,90.4,pre
618,dsp1_11,picnic table,wheelbarrow,85.1,pre
618,new_1,well,telescope,68.3,pre
